Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
387,tt0103239,2021-10-04,2021-10-04,,Wedlock,https://www.imdb.com/title/tt0103239/,movie,5.9,101,1991,"Action, Crime, Drama, Sci-Fi, Thriller",8607,1991-05-12,Lewis Teague
388,tt0094293,2021-10-04,2021-10-04,,Wanted: Dead or Alive,https://www.imdb.com/title/tt0094293/,movie,5.9,106,1986,"Action, Crime, Drama, Thriller",5354,1986-11-21,Gary Sherman
389,tt0115677,2021-10-04,2021-10-04,,The Big Fall,https://www.imdb.com/title/tt0115677/,video,4.2,90,1997,Drama,176,1997-02-02,C. Thomas Howell
390,tt0109630,2021-10-04,2021-10-04,,Direct Hit,https://www.imdb.com/title/tt0109630/,video,4.2,89,1994,"Action, Drama",280,1994-03-31,"Paul G. Volk, Joseph Merhi"
391,tt0399146,2021-10-04,2021-10-04,,A History of Violence,https://www.imdb.com/title/tt0399146/,movie,7.4,96,2005,"Action, Crime, Drama, Thriller",237324,2005-05-16,David Cronenberg
392,tt0091400,2021-10-04,2021-10-04,,Let's Get Harry,https://www.imdb.com/title/tt0091400/,movie,5.2,102,1986,"Action, Adventure",1316,1986-10-31,Stuart Rosenberg
393,tt7638348,2021-10-04,2021-10-04,,Boss Level,https://www.imdb.com/title/tt7638348/,movie,6.8,100,2020,"Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller",64550,2020-02-11,Joe Carnahan
394,tt3276924,2021-10-04,2021-10-04,,Heist,https://www.imdb.com/title/tt3276924/,movie,6.1,93,2015,"Action, Crime, Drama, Thriller",30360,2015-11-11,Scott Mann
395,tt0095583,2021-10-04,2021-10-04,,Maniac Cop,https://www.imdb.com/title/tt0095583/,movie,6.0,85,1988,"Action, Crime, Horror, Mystery",17179,1988-03-31,William Lustig
396,tt8244784,2021-10-04,2021-10-04,,The Hunt,https://www.imdb.com/title/tt8244784/,movie,6.5,90,2020,"Action, Horror, Thriller",109448,2020-03-11,Craig Zobel
397,tt7798634,2021-10-04,2021-10-04,,Ready or Not,https://www.imdb.com/title/tt7798634/,movie,6.8,95,2019,"Action, Comedy, Horror, Mystery, Thriller",143900,2019-03-12,"Matt Bettinelli-Olpin, Tyler Gillett"
398,tt1590193,2021-10-04,2021-10-04,,The Commuter,https://www.imdb.com/title/tt1590193/,movie,6.3,104,2018,"Action, Mystery, Thriller",114464,2018-01-08,Jaume Collet-Serra
399,tt1397280,2021-10-04,2021-10-04,,Taken 2,https://www.imdb.com/title/tt1397280/,movie,6.2,92,2012,"Action, Crime, Thriller",304996,2012-09-07,Olivier Megaton
400,tt0112715,2021-10-04,2021-10-04,,Congo,https://www.imdb.com/title/tt0112715/,movie,5.2,109,1995,"Action, Adventure, Mystery, Sci-Fi",45625,1995-06-09,Frank Marshall
401,tt0099700,2021-10-04,2021-10-04,,Gremlins 2: The New Batch,https://www.imdb.com/title/tt0099700/,movie,6.4,106,1990,"Comedy, Fantasy, Horror",102572,1990-06-15,"Joe Dante, Chuck Jones"
402,tt6723592,2021-10-04,2021-10-04,,Tenet,https://www.imdb.com/title/tt6723592/,movie,7.3,150,2020,"Action, Sci-Fi, Thriller",475379,2020-08-22,Christopher Nolan
403,tt1375666,2021-10-04,2021-10-04,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2288665,2010-07-08,Christopher Nolan
404,tt0067128,2021-10-04,2021-10-04,,Get Carter,https://www.imdb.com/title/tt0067128/,movie,7.4,112,1971,"Action, Crime, Thriller",33389,1971-02-03,Mike Hodges
405,tt2381249,2021-10-05,2021-10-05,,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/,movie,7.4,131,2015,"Action, Adventure, Thriller",367822,2015-07-23,Christopher McQuarrie
406,tt1261862,2021-10-05,2021-10-05,,Icarus,https://www.imdb.com/title/tt1261862/,movie,5.0,88,2010,"Action, Drama, Thriller",4226,2010-02-09,Dolph Lundgren
407,tt0858433,2021-10-05,2021-10-05,,Diamond Dogs,https://www.imdb.com/title/tt0858433/,movie,4.1,94,2007,"Action, Adventure",1849,2007-08-31,"Dolph Lundgren, Shimon Dotan"
408,tt1182609,2021-10-05,2021-10-05,,Direct Contact,https://www.imdb.com/title/tt1182609/,movie,4.2,90,2009,"Action, Thriller",2972,2009-03-19,Danny Lerner
409,tt0194722,2021-10-05,2021-10-05,,Bridge of Dragons,https://www.imdb.com/title/tt0194722/,movie,4.6,92,1999,"Action, Romance, Sci-Fi, Thriller",2795,1999-06-30,Isaac Florentine
410,tt0164184,2021-10-05,2021-10-05,,The Sum of All Fears,https://www.imdb.com/title/tt0164184/,movie,6.4,124,2002,"Action, Drama, Thriller, War",115116,2002-05-29,Phil Alden Robinson
411,tt0338450,2021-10-05,2021-10-05,,Sniper 2,https://www.imdb.com/title/tt0338450/,video,5.1,91,2002,"Action, War",6198,2002-12-20,Craig R. Baxley
412,tt0408196,2021-10-05,2021-10-05,,Sniper 3,https://www.imdb.com/title/tt0408196/,video,5.2,90,2004,"Action, Drama, Thriller, War",4179,2004-10-19,P.J. Pesce
413,tt12305696,2021-10-05,2021-10-05,,Sniper: Assassin's End,https://www.imdb.com/title/tt12305696/,video,5.3,95,2020,"Action, Thriller",2898,2020-06-16,Kaare Andrews
414,tt0257076,2021-10-05,2021-10-05,,S.W.A.T.,https://www.imdb.com/title/tt0257076/,movie,6.0,117,2003,"Action, Adventure, Crime, Thriller",146785,2003-08-08,Clark Johnson
415,tt0443632,2021-10-05,2021-10-05,,The Sentinel,https://www.imdb.com/title/tt0443632/,movie,6.1,108,2006,"Action, Crime, Thriller",49678,2006-04-19,Clark Johnson
416,tt0085121,2021-10-05,2021-10-05,,10 to Midnight,https://www.imdb.com/title/tt0085121/,movie,6.3,101,1983,"Crime, Drama, Thriller",8203,1983-03-11,J. Lee Thompson
417,tt0098513,2021-10-05,2021-10-05,,Triumph of the Spirit,https://www.imdb.com/title/tt0098513/,movie,6.8,120,1989,"Biography, Drama, History, Sport, War",2542,1989-12-08,Robert M. Young
418,tt0097334,2021-10-05,2021-10-05,,Farewell to the King,https://www.imdb.com/title/tt0097334/,movie,6.3,117,1989,"Action, Adventure, Drama, War",2864,1989-02-01,John Milius
419,tt0092997,2021-10-05,2021-10-05,,Extreme Prejudice,https://www.imdb.com/title/tt0092997/,movie,6.6,105,1987,"Action, Crime, Drama, History, Thriller, Western",7430,1987-04-24,Walter Hill
420,tt0083111,2021-10-05,2021-10-05,,Southern Comfort,https://www.imdb.com/title/tt0083111/,movie,7.1,106,1981,"Action, Thriller",19632,1981-09-21,Walter Hill
421,tt0081071,2021-10-05,2021-10-05,,The Long Riders,https://www.imdb.com/title/tt0081071/,movie,6.9,100,1980,"Biography, Crime, Western",11483,1980-05-15,Walter Hill
422,tt1448755,2021-10-05,2021-10-05,,Killer Elite,https://www.imdb.com/title/tt1448755/,movie,6.4,116,2011,"Action, Crime, Thriller",129352,2011-09-10,Gary McKendry
423,tt2402157,2021-10-05,2021-10-05,,The November Man,https://www.imdb.com/title/tt2402157/,movie,6.2,108,2014,"Action, Thriller",67733,2014-08-13,Roger Donaldson
424,tt0281322,2021-10-05,2021-10-05,,Undisputed,https://www.imdb.com/title/tt0281322/,movie,6.1,96,2002,"Action, Crime, Drama, Sport",32381,2002-05-31,Walter Hill
425,tt0443676,2021-10-05,2021-10-05,,Undisputed II: Last Man Standing,https://www.imdb.com/title/tt0443676/,video,7.0,98,2006,"Action, Crime, Drama, Sport",36561,2006-04-11,Isaac Florentine
426,tt1156466,2021-10-05,2021-10-05,,Undisputed III: Redemption,https://www.imdb.com/title/tt1156466/,video,7.4,96,2010,"Action, Crime, Drama, Sport",41708,2010-04-17,Isaac Florentine
427,tt3344680,2021-10-05,2021-10-05,,Boyka: Undisputed IV,https://www.imdb.com/title/tt3344680/,video,6.9,86,2016,"Action, Drama, Sport",28870,2016-09-22,Todor Chapkanov
428,tt0346631,2021-10-05,2021-10-05,,Blood and Bone,https://www.imdb.com/title/tt0346631/,movie,6.7,93,2009,"Action, Crime, Drama, Sport",33560,2009-09-15,Ben Ramsey
429,tt0117107,2021-10-05,2021-10-05,,Mulholland Falls,https://www.imdb.com/title/tt0117107/,movie,6.3,107,1996,"Crime, Drama, Mystery, Thriller",17463,1996-04-23,Lee Tamahori
430,tt0071562,2021-10-05,2021-10-05,,The Godfather Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1241454,1974-12-12,Francis Ford Coppola
431,tt0228750,2021-10-05,2021-10-05,,Proof of Life,https://www.imdb.com/title/tt0228750/,movie,6.3,135,2000,"Action, Drama, Thriller",57175,2000-12-04,Taylor Hackford
432,tt0118972,2021-10-05,2021-10-05,,The Devil's Own,https://www.imdb.com/title/tt0118972/,movie,6.2,111,1997,"Action, Crime, Drama, Thriller",65312,1997-03-13,Alan J. Pakula
433,tt0109760,2021-10-05,2021-10-05,,The Expert,https://www.imdb.com/title/tt0109760/,movie,4.6,92,1995,Action,673,1995-04-06,"Rick Avery, William Lustig"
434,tt0119903,2021-10-05,2021-10-05,,Plato's Run,https://www.imdb.com/title/tt0119903/,video,4.5,96,1997,Action,495,1997-02-21,James Becket
435,tt0163815,2021-10-05,2021-10-05,,Running Red,https://www.imdb.com/title/tt0163815/,video,4.8,92,1999,"Action, Drama, Thriller",456,1999-03-30,Jerry P. Jacobs
436,tt0112828,2021-10-05,2021-10-05,,Deadly Outbreak,https://www.imdb.com/title/tt0112828/,video,4.7,88,1995,"Action, Drama, Thriller",556,1995-07-15,Rick Avery
437,tt0108234,2021-10-05,2021-10-05,,Street Knight,https://www.imdb.com/title/tt0108234/,movie,5.2,91,1993,"Action, Crime, Drama, Thriller",804,1993-03-12,Albert Magnoli
438,tt10838180,2021-10-05,2021-10-05,,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,movie,5.7,148,2021,"Action, Sci-Fi",234364,2021-12-16,Lana Wachowski
439,tt4172430,2021-10-05,2021-10-05,,13 Hours,https://www.imdb.com/title/tt4172430/,movie,7.3,144,2016,"Action, Drama, History, Thriller, War",139814,2016-01-12,Michael Bay
440,tt2713180,2021-10-05,2021-10-05,,Fury,https://www.imdb.com/title/tt2713180/,movie,7.5,134,2014,"Action, Drama, War",477415,2014-10-15,David Ayer
441,tt1535109,2021-10-05,2021-10-05,,Captain Phillips,https://www.imdb.com/title/tt1535109/,movie,7.8,134,2013,"Action, Biography, Crime, Drama, Thriller",453822,2013-09-27,Paul Greengrass
442,tt0120224,2021-10-05,2021-10-05,,Strategic Command,https://www.imdb.com/title/tt0120224/,movie,4.2,90,1997,"Action, Drama, Thriller",819,1997-01-06,Rick Jacobson
443,tt0118732,2021-10-05,2021-10-05,,Black Thunder,https://www.imdb.com/title/tt0118732/,movie,3.7,85,1998,"Action, Drama, Thriller",577,1998-08-31,Rick Jacobson
444,tt0115965,2021-10-05,2021-10-05,,Crash Dive,https://www.imdb.com/title/tt0115965/,video,4.3,90,1996,"Action, Drama, Thriller",902,1996-12-20,Andrew Stevens
445,tt0088708,2021-10-05,2021-10-05,,American Ninja,https://www.imdb.com/title/tt0088708/,movie,5.4,95,1985,"Action, Adventure, Romance",15197,1985-08-30,Sam Firstenberg
446,tt0112763,2021-10-05,2021-10-05,,Cyberjack,https://www.imdb.com/title/tt0112763/,movie,4.1,99,1995,"Action, Sci-Fi",581,1995-04-30,Robert Lee
447,tt0119153,2021-10-05,2021-10-05,,Freedom Strike,https://www.imdb.com/title/tt0119153/,movie,3.7,93,1998,"Drama, Action",442,1998-04-07,Jerry P. Jacobs
448,tt0139029,2021-10-05,2021-10-05,,Armstrong,https://www.imdb.com/title/tt0139029/,movie,3.7,99,1998,"Action, Thriller",466,1998-03-19,Menahem Golan
449,tt0214638,2021-10-05,2021-10-05,,Doomsdayer,https://www.imdb.com/title/tt0214638/,movie,3.5,93,2000,Action,328,2000-09-30,Michael J. Sarna
450,tt0119839,2021-10-05,2021-10-05,,Operation Delta Force,https://www.imdb.com/title/tt0119839/,tvMovie,3.7,93,1997,"Action, Thriller",972,1997-04-23,Sam Firstenberg
451,tt0118119,2021-10-05,2021-10-05,,Warhead,https://www.imdb.com/title/tt0118119/,movie,3.9,96,1996,"Action, Thriller",258,1996-05-22,Mark Roper
452,tt0092991,2021-10-05,2021-10-05,,Evil Dead II,https://www.imdb.com/title/tt0092991/,movie,7.7,84,1987,"Comedy, Horror",162229,1987-03-13,Sam Raimi
453,tt0110823,2021-10-05,2021-10-05,,Phantasm III: Lord of the Dead,https://www.imdb.com/title/tt0110823/,movie,6.0,91,1994,"Action, Fantasy, Horror, Sci-Fi",9649,1994-02-25,Don Coscarelli
454,tt0138703,2021-10-05,2021-10-05,,Phantasm IV: Oblivion,https://www.imdb.com/title/tt0138703/,movie,5.5,90,1998,"Fantasy, Horror, Sci-Fi",7632,1998-07-31,Don Coscarelli
455,tt3627704,2021-10-05,2021-10-05,,Phantasm: Ravager,https://www.imdb.com/title/tt3627704/,movie,4.9,85,2016,"Action, Fantasy, Horror",4472,2016-09-25,David Hartman
456,tt0099377,2021-10-05,2021-10-05,,Deadbeat at Dawn,https://www.imdb.com/title/tt0099377/,movie,6.5,80,1988,"Action, Crime, Horror",2326,1997-02-18,Jim Van Bebber
457,tt0109195,2021-10-05,2021-10-05,,Back in Action,https://www.imdb.com/title/tt0109195/,movie,5.4,93,1994,"Action, Crime, Drama, Thriller",666,1994-07-13,"Paul Ziller, Steve DiMarco"
458,tt0114706,2021-10-05,2021-10-05,,Tough and Deadly,https://www.imdb.com/title/tt0114706/,video,5.7,92,1995,"Action, Drama, Thriller",514,1995-02-14,Steve Cohen
459,tt0110215,2021-10-05,2021-10-05,,Jungleground,https://www.imdb.com/title/tt0110215/,movie,5.3,90,1995,"Action, Sci-Fi, Thriller",446,1995-07-07,Don Allan
460,tt0110117,2021-10-05,2021-10-05,,Immortal Combat,https://www.imdb.com/title/tt0110117/,movie,4.8,109,1994,"Action, Adventure, Fantasy",398,1994-04-22,Dan Neira
461,tt0243920,2021-10-05,2021-10-05,,Gedo,https://www.imdb.com/title/tt0243920/,video,4.5,94,2000,"Action, Crime, Drama",269,2000-04-04,Talun Hsu
462,tt0218053,2021-10-05,2021-10-05,,Black Friday,https://www.imdb.com/title/tt0218053/,movie,3.1,95,2001,Action,231,2001-01-19,Darren Doane
463,tt1884312,2021-10-05,2021-10-05,,Forced to Fight,https://www.imdb.com/title/tt1884312/,movie,4.3,101,2011,Action,783,2013-10-01,Jonas Quastel
464,tt0113220,2021-10-05,2021-10-05,,Virtual Combat,https://www.imdb.com/title/tt0113220/,video,3.8,97,1995,"Action, Sci-Fi",644,1995-07-11,Andrew Stevens
465,tt0215785,2021-10-05,2021-10-05,,Race Against Time,https://www.imdb.com/title/tt0215785/,tvMovie,5.1,90,2000,"Action, Crime, Drama, Thriller",551,2000-07-23,Geoff Murphy
466,tt0113075,2021-10-05,2021-10-05,,Fists of Iron,https://www.imdb.com/title/tt0113075/,movie,4.6,94,1995,Action,295,1995-03-21,Richard W. Munchkin
467,tt0094764,2021-10-05,2021-10-05,,The Blood of Heroes,https://www.imdb.com/title/tt0094764/,movie,6.3,90,1989,"Action, Sci-Fi, Sport",7076,1989-09-13,David Webb Peoples
468,tt0106393,2021-10-05,2021-10-05,,Best of the Best II,https://www.imdb.com/title/tt0106393/,movie,5.5,101,1993,"Action, Crime, Drama, Thriller",5906,1993-03-05,Robert Radler
469,tt0109576,2021-10-05,2021-10-05,,Death Match,https://www.imdb.com/title/tt0109576/,movie,4.4,94,1994,"Action, Drama",254,1994-10-26,Joe Coppoletta
470,tt0109178,2021-10-05,2021-10-05,,Automatic,https://www.imdb.com/title/tt0109178/,movie,5.2,90,1995,"Action, Sci-Fi, Thriller",797,1995-03-29,John Murlowski
471,tt0341495,2021-10-05,2021-10-05,,Chik loh dak gung,https://www.imdb.com/title/tt0341495/,movie,5.5,92,2002,"Action, Crime, Drama, Romance, Thriller",7628,2002-11-09,Siu-Tung Ching
472,tt1853739,2021-10-05,2021-10-05,,You're Next,https://www.imdb.com/title/tt1853739/,movie,6.5,95,2011,"Horror, Thriller",98070,2011-09-10,Adam Wingard
473,tt0092848,2021-10-05,2021-10-05,,Deadly Prey,https://www.imdb.com/title/tt0092848/,movie,5.1,88,1987,"Action, Thriller",3069,1987-11-02,David A. Prior
474,tt1136608,2021-10-05,2021-10-05,,District 9,https://www.imdb.com/title/tt1136608/,movie,7.9,112,2009,"Action, Sci-Fi, Thriller",673798,2009-08-13,Neill Blomkamp
475,tt1535108,2021-10-05,2021-10-05,,Elysium,https://www.imdb.com/title/tt1535108/,movie,6.6,109,2013,"Action, Drama, Sci-Fi",443090,2013-08-07,Neill Blomkamp
476,tt1677720,2021-10-05,2021-10-05,,Ready Player One,https://www.imdb.com/title/tt1677720/,movie,7.4,140,2018,"Action, Adventure, Sci-Fi",425092,2018-03-11,Steven Spielberg
477,tt0121765,2021-10-05,2021-10-05,Arena fight.,Star Wars: Episode II - Attack of the Clones,https://www.imdb.com/title/tt0121765/,movie,6.6,142,2002,"Action, Adventure, Fantasy, Sci-Fi",697545,2002-05-12,George Lucas
478,tt0120696,2021-10-05,2021-10-05,,Hard Rain,https://www.imdb.com/title/tt0120696/,movie,5.9,97,1998,"Action, Crime, Drama, Thriller",35359,1998-01-16,Mikael Salomon
479,tt0339135,2021-10-05,2021-10-05,,In Hell,https://www.imdb.com/title/tt0339135/,movie,6.1,98,2003,"Action, Drama, Thriller",20125,2003-06-14,Ringo Lam
480,tt2088003,2021-10-05,2021-10-05,,Big Game,https://www.imdb.com/title/tt2088003/,movie,5.4,90,2014,"Action, Adventure",33164,2014-09-05,Jalmari Helander
481,tt0107668,2021-10-05,2021-10-05,,Nemesis,https://www.imdb.com/title/tt0107668/,movie,5.3,95,1992,"Action, Sci-Fi, Thriller",5840,1992-12-26,Albert Pyun
482,tt0115618,2021-10-05,2021-10-05,,Balance of Power,https://www.imdb.com/title/tt0115618/,movie,4.6,92,1996,Action,365,1996-06-25,Rick Bennett
483,tt0111174,2021-10-05,2021-10-05,,Showdown,https://www.imdb.com/title/tt0111174/,movie,5.2,98,1993,Action,1129,1993-09-17,Robert Radler
484,tt4425200,2021-10-05,2021-10-05,,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,movie,7.4,122,2017,"Action, Crime, Thriller",418674,2017-01-30,Chad Stahelski
485,tt3766354,2021-10-05,2021-10-05,,The Equalizer 2,https://www.imdb.com/title/tt3766354/,movie,6.7,121,2018,"Action, Crime, Thriller",156280,2018-07-19,Antoine Fuqua
486,tt1272878,2021-10-05,2021-10-05,,2 Guns,https://www.imdb.com/title/tt1272878/,movie,6.7,109,2013,"Action, Thriller",210208,2013-07-30,Baltasar Kormákur
487,tt6146586,2021-10-05,2021-10-05,,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,movie,7.4,130,2019,"Action, Crime, Thriller",330203,2019-05-15,Chad Stahelski
488,tt10366206,2021-10-05,2021-10-05,,John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,movie,,,2023,"Action, Crime, Thriller",,2023-03-24,Chad Stahelski
489,tt12844100,2021-10-05,2021-10-05,,John Wick: Chapter 5,https://www.imdb.com/title/tt12844100/,movie,,,,"Action, Crime, Thriller",,,
490,tt6486762,2021-10-05,2021-10-05,,The Continental,https://www.imdb.com/title/tt6486762/,tvMiniSeries,,,2022,"Action, Crime, Thriller",,2022-12-31,
491,tt1210042,2021-10-05,2021-10-05,,Brooklyn's Finest,https://www.imdb.com/title/tt1210042/,movie,6.7,132,2009,"Action, Crime, Drama, Thriller",63734,2009-01-16,Antoine Fuqua
492,tt0988047,2021-10-05,2021-10-05,,Traitor,https://www.imdb.com/title/tt0988047/,movie,6.9,114,2008,"Action, Crime, Drama, Thriller",57692,2008-08-21,Jeffrey Nachmanoff
493,tt0482572,2021-10-05,2021-10-05,,Pride and Glory,https://www.imdb.com/title/tt0482572/,movie,6.6,130,2008,"Crime, Drama, Thriller",61208,2008-09-09,Gavin O'Connor
494,tt0160797,2021-10-05,2021-10-05,,Rules of Engagement,https://www.imdb.com/title/tt0160797/,movie,6.4,128,2000,"Drama, Thriller, War",47684,2000-04-07,William Friedkin
495,tt1117385,2021-10-05,2021-10-05,,Felon,https://www.imdb.com/title/tt1117385/,movie,7.4,104,2008,"Crime, Thriller",78445,2008-07-13,Ric Roman Waugh
496,tt4633690,2021-10-05,2021-10-05,,Shot Caller,https://www.imdb.com/title/tt4633690/,movie,7.3,121,2017,"Crime, Drama, Thriller",85234,2017-06-17,Ric Roman Waugh
497,tt6237612,2021-10-05,2021-10-05,,Accident Man,https://www.imdb.com/title/tt6237612/,movie,6.2,105,2018,"Action, Crime, Thriller",9692,2018-02-05,Jesse V. Johnson
498,tt5254610,2021-10-05,2021-10-05,,Final Score,https://www.imdb.com/title/tt5254610/,movie,5.8,104,2018,"Action, Drama, Thriller",12444,2018-09-07,Scott Mann
499,tt2787302,2021-10-05,2021-10-05,,Message Man,https://www.imdb.com/title/tt2787302/,movie,5.9,91,2018,"Action, Crime, Thriller",5541,2018-03-08,Corey Pearson
500,tt2237324,2021-10-05,2021-10-05,,Bent,https://www.imdb.com/title/tt2237324/,movie,5.1,96,2018,"Crime, Thriller",6520,2018-03-09,Bobby Moresco
501,tt2724532,2021-10-05,2021-10-05,,Gridlocked,https://www.imdb.com/title/tt2724532/,movie,5.8,110,2015,Action,4609,2015-09-26,Allan Ungar
502,tt0160009,2021-10-05,2021-10-05,,The Art of War,https://www.imdb.com/title/tt0160009/,movie,5.7,117,2000,"Action, Adventure, Crime, Thriller",29946,2000-08-23,Christian Duguay
503,tt0345461,2021-10-05,2021-10-05,,The Detonator,https://www.imdb.com/title/tt0345461/,video,4.7,96,2006,"Action, Thriller",4357,2006-04-25,Po-Chih Leong
504,tt0069989,2021-10-05,2021-10-05,,The Don Is Dead,https://www.imdb.com/title/tt0069989/,movie,6.2,115,1973,"Action, Crime, Drama, Romance, Thriller",1262,1973-11-14,Richard Fleischer
505,tt0063775,2021-10-05,2021-10-05,,Villa Rides,https://www.imdb.com/title/tt0063775/,movie,6.3,125,1968,"War, Western",2107,1968-05-29,Buzz Kulik
506,tt0218673,2021-10-05,2021-10-05,,The Tracker,https://www.imdb.com/title/tt0218673/,tvMovie,4.6,90,2001,"Action, Crime, Drama",278,2001-10-09,Jeff Schechter
507,tt5040202,2021-10-05,2021-10-05,,Last Seen in Idaho,https://www.imdb.com/title/tt5040202/,movie,5.1,109,2018,"Action, Crime, Thriller",3465,2018-04-24,Eric Colley
508,tt2510268,2021-10-05,2021-10-05,,Blood of Redemption,https://www.imdb.com/title/tt2510268/,movie,4.4,85,2013,"Action, Crime, Drama, Thriller",1687,2013-09-24,"Shawn Sourgose, Giorgio Serafini"
509,tt1446072,2021-10-05,2021-10-05,,Game of Death,https://www.imdb.com/title/tt1446072/,movie,4.7,98,2011,"Action, Adventure, Thriller",6764,2011-02-15,Giorgio Serafini
510,tt0070034,2021-10-05,2021-10-05,,Enter the Dragon,https://www.imdb.com/title/tt0070034/,movie,7.6,102,1973,"Action, Crime, Drama, Thriller",103821,1973-07-26,Robert Clouse
511,tt0068935,2021-10-05,2021-10-05,,Meng long guo jiang,https://www.imdb.com/title/tt0068935/,movie,7.2,99,1972,"Action, Adventure, Comedy, Crime, Drama, Thriller",36876,1972-06-01,Bruce Lee
512,tt0067824,2021-10-05,2021-10-05,,Tang shan da xiong,https://www.imdb.com/title/tt0067824/,movie,6.9,100,1971,"Action, Crime, Drama, Thriller",26995,1971-10-23,"Wei Lo, Chia-Hsiang Wu"
513,tt0078975,2021-10-05,2021-10-05,,Circle of Iron,https://www.imdb.com/title/tt0078975/,movie,5.7,102,1978,"Action, Adventure, Fantasy",2353,1978-07-25,Richard Moore
514,tt0120616,2021-10-05,2021-10-05,,The Mummy,https://www.imdb.com/title/tt0120616/,movie,7.1,124,1999,"Action, Adventure, Fantasy",422524,1999-04-16,Stephen Sommers
515,tt0209163,2021-10-05,2021-10-05,,The Mummy Returns,https://www.imdb.com/title/tt0209163/,movie,6.4,130,2001,"Action, Adventure, Fantasy, Thriller",320922,2001-04-29,Stephen Sommers
516,tt1087828,2021-10-05,2021-10-05,,Aces 'N' Eights,https://www.imdb.com/title/tt1087828/,tvMovie,5.4,87,2008,"Action, Adventure, Drama, Romance, Western",792,2008-03-15,Craig R. Baxley
517,tt0479537,2021-10-05,2021-10-05,,Seraphim Falls,https://www.imdb.com/title/tt0479537/,movie,6.6,115,2006,"Action, Drama, Thriller, War, Western",31854,2006-09-13,David Von Ancken
518,tt0221309,2021-10-05,2021-10-05,,Judgment Day,https://www.imdb.com/title/tt0221309/,video,4.5,95,1998,"Action, Sci-Fi, Thriller",1171,1998-12-30,John Terlesky
519,tt5362988,2021-10-05,2021-10-05,,Wind River,https://www.imdb.com/title/tt5362988/,movie,7.7,107,2017,"Crime, Drama, Mystery, Thriller, Western",245965,2017-01-21,Taylor Sheridan
520,tt3608930,2021-10-05,2021-10-05,,In a Valley of Violence,https://www.imdb.com/title/tt3608930/,movie,6.0,104,2016,"Action, Western",18997,2016-03-12,Ti West
521,tt2271563,2021-10-05,2021-10-05,,Forsaken,https://www.imdb.com/title/tt2271563/,movie,6.3,90,2015,"Action, Drama, Western",11981,2015-09-16,Jon Cassar
522,tt0800308,2021-10-05,2021-10-05,,Appaloosa,https://www.imdb.com/title/tt0800308/,movie,6.7,115,2008,"Action, Crime, Drama, Romance, Western",61262,2008-09-05,Ed Harris
523,tt2140037,2021-10-05,2021-10-05,,Jane Got a Gun,https://www.imdb.com/title/tt2140037/,movie,5.9,98,2015,"Action, Drama, Western",22498,2015-12-31,Gavin O'Connor
524,tt0096487,2021-10-05,2021-10-05,,Young Guns,https://www.imdb.com/title/tt0096487/,movie,6.8,107,1988,"Action, Western",61304,1988-08-10,Christopher Cain
525,tt0100994,2021-10-05,2021-10-05,,Young Guns II,https://www.imdb.com/title/tt0100994/,movie,6.5,104,1990,"Action, Western",36022,1990-07-30,Geoff Murphy
526,tt0093185,2021-10-05,2021-10-05,,The Hidden,https://www.imdb.com/title/tt0093185/,movie,7.0,97,1987,"Horror, Sci-Fi, Thriller",19281,1987-10-30,Jack Sholder
527,tt0835378,2021-10-05,2021-10-05,,Star Trek: Of Gods and Men,https://www.imdb.com/title/tt0835378/,video,6.1,87,2007,"Action, Adventure, Sci-Fi",1407,2007-12-22,Tim Russ
528,tt0197924,2021-10-05,2021-10-05,,The Substitute 3: Winner Takes All,https://www.imdb.com/title/tt0197924/,tvMovie,4.7,89,1999,"Action, Crime, Thriller",1726,1999-08-14,Robert Radler
529,tt0240944,2021-10-05,2021-10-05,,The Substitute: Failure Is Not an Option,https://www.imdb.com/title/tt0240944/,video,4.6,91,2001,"Action, Crime, Thriller",1198,2001-04-24,Robert Radler
530,tt0111280,2021-10-05,2021-10-05,,Star Trek: Generations,https://www.imdb.com/title/tt0111280/,movie,6.6,118,1994,"Action, Adventure, Mystery, Sci-Fi, Thriller",81624,1994-11-17,David Carson
531,tt0106850,2021-10-05,2021-10-05,,Extreme Justice,https://www.imdb.com/title/tt0106850/,movie,5.5,96,1993,"Action, Crime, Drama, Thriller",1285,1993-02-19,Mark L. Lester
532,tt0105813,2021-10-05,2021-10-05,,White Sands,https://www.imdb.com/title/tt0105813/,movie,6.0,101,1992,"Action, Crime, Drama, Thriller",8101,1992-04-24,Roger Donaldson
533,tt0096744,2021-10-05,2021-10-05,,84C MoPic,https://www.imdb.com/title/tt0096744/,movie,6.8,95,1989,"Drama, War",1842,1989-03-22,Patrick Sheane Duncan
